Time,T01_TEMP,T01_Wh,T02_TEMP,T02_Wh,T03_TEMP,T03_Wh,T04_TEMP,T04_Wh,T05_TEMP,T05_Wh,T06_TEMP,T06_Wh,T07_TEMP,T07_Wh,T08_TEMP,T08_Wh,T09_TEMP,T09_Wh,Text,GHI
2019-03-30 00:00:00,17.786,0,18.351,4,19.061,0,19.091,4,19.214,4,18.784,0,19.581,4,19.188,0,19.963,0,-6.047819811,0.0
2019-03-30 00:15:00,17.709,0,18.26,0,18.838,4,18.97,4,19.044,8,18.524,4,19.444,0,19.048,4,19.806,4,-6.312699526,0.0
2019-03-30 00:30:00,17.613,0,18.198,0,18.708,0,18.851,4,18.922,8,18.695,0,19.283,4,18.946,0,19.625,0,-6.458341038,0.0
2019-03-30 00:45:00,17.487,0,18.021,0,18.558,0,18.694,4,18.809,4,19.299,4,19.179,0,18.825,4,19.523,4,-6.54875782,0.0
2019-03-30 01:00:00,17.394,0,17.925,4,18.571,4,18.596,4,18.803,8,17.706,0,19.052,4,18.727,0,19.381,0,-6.488625472,0.0
2019-03-30 01:15:00,17.32,4,17.819,0,18.404,0,18.492,4,18.657,8,18.272,4,18.865,0,18.601,4,19.31,4,-6.327009953,0.0
2019-03-30 01:30:00,17.251,124,17.765,0,18.263,4,18.359,4,18.49,4,17.922,0,18.715,0,18.469,0,19.172,0,-6.411062264,0.0
2019-03-30 01:45:00,17.327,200,17.684,4,18.138,0,18.199,4,18.379,8,17.893,4,18.577,4,18.36,4,19.061,4,-6.455706161,0.0
2019-03-30 02:00:00,17.389,308,17.613,0,18.063,4,18.095,4,18.339,8,17.974,0,18.444,0,18.237,0,18.902,0,-6.680046226,0.0
2019-03-30 02:15:00,17.413,408,17.597,36,18.024,0,17.994,4,18.258,4,18.268,4,18.3,4,18.133,4,18.79,4,-6.584570616,0.0
2019-03-30 02:30:00,17.477,448,17.605,24,17.809,4,17.886,4,18.127,8,17.871,0,18.132,0,17.979,0,18.639,0,-6.437106604,0.0
2019-03-30 02:45:00,17.531,496,17.526,80,17.713,0,17.772,4,18.018,8,17.197,4,17.989,4,17.886,4,18.513,4,-6.322351659,0.0
2019-03-30 03:00:00,17.54,516,17.567,64,17.588,4,17.642,4,17.915,4,16.647,4,17.877,0,17.759,0,18.408,0,-6.186939623,0.0
2019-03-30 03:15:00,17.604,504,17.562,104,17.553,0,17.513,4,17.84,8,17.56,0,17.708,4,17.656,4,18.33,4,-5.929229858,0.0
2019-03-30 03:30:00,17.631,488,17.577,144,17.455,4,17.428,28,17.762,8,17.312,4,17.598,0,17.563,0,18.2,0,-5.173447393,0.0
