,T01_TEMP,T01_SET,T01_Wh,T02_TEMP,T02_SET,T02_Wh,T03_TEMP,T03_SET,T03_Wh,T04_TEMP,T04_SET,T04_Wh,T05_TEMP,T05_SET,T05_Wh,T06_TEMP,T06_SET,T06_Wh,T07_TEMP,T07_SET,T07_Wh,T08_TEMP,T08_SET,T08_Wh,T09_TEMP,T09_SET,T09_Wh,Text,GHI
2023-03-01 00:00:00-05:00,19.97,20.0,160.0000000003092,20.1,20.0,0.0,20.82,20.0,0.0,20.76,20.0,0.0,20.82,20.0,0.0,20.83,20.5,0.0,20.42,20.5,0.0,20.535,20.5,0.0,21.49,20.5,0.0,-1.4,0.0
2023-03-01 00:15:00-05:00,19.82,19.0,0.0,19.970666666666663,19.0,0.0,20.61,19.0,0.0,20.55,19.0,0.0,20.465000000000003,19.0,0.0,20.7,19.0,0.0,20.45,19.0,0.0,20.46,19.0,0.0,21.39,19.0,0.0,-1.2999999999999998,0.0
2023-03-01 00:30:00-05:00,19.73,19.0,0.0,19.836666666666662,19.0,0.0,20.51,19.0,0.0,20.45,19.0,0.0,20.558333333333334,19.0,0.0,20.6,19.0,0.0,20.22,19.0,0.0,20.36,19.0,0.0,21.29,19.0,0.0,-1.2,0.0
2023-03-01 00:45:00-05:00,19.7,19.0,0.0,19.79,19.0,0.0,20.476666666666667,19.0,0.0,20.33,19.0,0.0,20.54,19.0,0.0,20.5,19.0,0.0,20.12,19.0,0.0,20.26,19.0,0.0,21.19,19.0,0.0,-1.1,0.0
2023-03-01 01:00:00-05:00,19.6,19.0,0.0,19.69,19.0,0.0,20.255000000000003,19.0,0.0,20.23,19.0,0.0,20.23,19.0,0.0,20.4,19.0,0.0,20.02,19.0,0.0,20.16,19.0,0.0,21.09,19.0,0.0,-1.0,0.0
2023-03-01 01:15:00-05:00,19.49,19.0,0.0,19.59,19.0,0.0,20.2,19.0,0.0,20.2,19.0,0.0,20.33,19.0,0.0,20.29,19.0,0.0,19.936666666666667,19.0,0.0,20.05,19.0,0.0,20.99,19.0,0.0,-1.0,0.0
2023-03-01 01:30:00-05:00,19.49,19.0,0.0,19.49,19.0,0.0,20.07,19.0,0.0,20.1,19.0,0.0,20.02,19.0,0.0,20.19,19.0,0.0,19.82,19.0,0.0,20.016666666666666,19.0,0.0,20.947,19.0,0.0,-1.0,0.0
2023-03-01 01:45:00-05:00,19.29,19.0,0.0,19.49,19.0,0.0,20.07,19.0,0.0,20.0,19.0,0.0,20.12,19.0,0.0,20.09,19.0,0.0,19.79,19.0,0.0,19.95,19.0,0.0,20.93,19.0,0.0,-1.0,0.0
2023-03-01 02:00:00-05:00,19.29,19.0,0.0,19.39,19.0,0.0,19.92,19.0,0.0,19.9,19.0,0.0,19.87,19.0,0.0,20.058,19.0,0.0,19.7,19.0,0.0,19.85,19.0,0.0,20.82,19.0,0.0,-1.0,0.0
2023-03-01 02:15:00-05:00,19.19,19.0,0.0,19.28,19.0,0.0,19.82,19.0,0.0,19.8,19.0,0.0,19.92,19.0,0.0,19.88,19.0,0.0,19.6,19.0,0.0,19.74,19.0,0.0,20.72,19.0,0.0,-1.1,0.0
2023-03-01 02:30:00-05:00,19.09,19.0,0.0,19.28,19.0,0.0,19.795,19.0,0.0,19.8,19.0,0.0,19.81,19.0,0.0,19.826,19.0,0.0,19.5,19.0,0.0,19.64,19.0,0.0,20.62,19.0,0.0,-1.2,0.0
2023-03-01 02:45:00-05:00,18.99,19.0,0.0,19.16,19.0,0.0,19.62,19.0,0.0,19.6,19.0,0.0,19.58,19.0,0.0,19.67,19.0,0.0,19.5,19.0,0.0,19.56,19.0,0.0,20.53875,19.0,0.0,-1.2999999999999998,0.0
2023-03-01 03:00:00-05:00,19.19,19.0,0.0,19.16,19.0,0.0,19.62,19.0,0.0,19.6,19.0,0.0,19.68,19.0,0.0,19.67,19.0,0.0,19.32,19.0,0.0,19.46,19.0,0.0,20.43,19.0,0.0,-1.4,0.0
2023-03-01 03:15:00-05:00,18.88,19.0,0.0,19.16,19.0,0.0,19.38,19.0,0.0,19.4,19.0,0.0,19.35,19.0,0.0,19.57,19.0,0.0,19.22,19.0,0.0,19.46,19.0,0.0,20.32,19.0,0.0,-1.6749999999999998,0.0
2023-03-01 03:30:00-05:00,18.88,19.0,279.9999999997453,19.06,19.0,0.0,19.28,19.0,0.0,19.32,19.0,0.0,19.25,19.0,0.0,19.47,19.0,0.0,19.12,19.0,0.0,19.26,19.0,0.0,20.22,19.0,0.0,-1.95,0.0
2023-03-01 03:45:00-05:00,18.88,19.0,480.0000000000182,19.16,19.0,0.0,19.16,19.0,0.0,19.12,19.0,0.0,19.15,19.0,0.0,19.37,19.0,0.0,19.02,19.0,0.0,19.1,19.0,0.0,20.09,19.0,0.0,-2.225,0.0
2023-03-01 04:00:00-05:00,18.88,19.0,599.999999999909,19.16,19.0,0.0,19.16,19.0,0.0,19.12,19.0,0.0,19.14,19.0,0.0,19.27,19.0,0.0,18.92,19.0,119.9999999998908,18.98,19.0,0.0,20.09,19.0,0.0,-2.5,0.0
2023-03-01 04:15:00-05:00,18.94,19.0,580.000000000382,19.16,19.0,0.0,19.16,19.0,0.0,19.12,19.0,0.0,19.36,19.0,0.0,19.27,19.0,0.0,18.9,19.0,200.0000000000454,18.98,19.0,0.0,19.94125,19.0,0.0,-2.725,0.0
2023-03-01 04:30:00-05:00,18.86,19.0,0.0,19.04,19.0,0.0,19.0864,19.0,0.0,19.02,19.0,0.0,19.36,19.0,0.0,19.27,19.0,0.0,19.01,19.0,279.9999999999727,18.98,19.0,120.0000000003456,19.85,19.0,0.0,-2.95,0.0
2023-03-01 04:45:00-05:00,18.86,19.0,440.0000000000545,19.04,19.0,0.0,19.0,19.0,0.0,18.92,19.0,0.0,18.97,19.0,39.9999999999636,19.17,19.0,0.0,19.01,19.0,279.9999999999727,18.98,19.0,159.9999999998544,19.85,19.0,0.0,-3.175,0.0
2023-03-01 05:00:00-05:00,18.88222222222222,19.0,599.999999999909,19.04,19.0,0.0,19.02,19.0,0.0,18.952,19.0,79.9999999999272,18.86,19.0,159.9999999998544,19.17,19.0,0.0,19.01,19.0,279.9999999999727,18.99,19.0,119.9999999998908,19.72,19.0,769.3055555555557,-3.4,0.0
2023-03-01 05:15:00-05:00,19.95,21.0,2119.999999999891,20.125,21.0,1960.0000000000364,20.21,21.0,1119.9999999998909,20.99,21.0,680.0000000000637,20.45,21.0,1359.9999999996726,20.88,21.0,520.0000000000387,20.79,21.0,880.0000000001091,20.65,21.0,920.0000000000728,21.27,21.0,168.4722222222222,-3.425,0.0
